"NAICS","BEA_Sector","BEA_Summary","BEA_Detail","stateior_Summary","ModelSchema"
"333111G102","31G","333","333111","333",""
"333111G104","31G","333","333111","333",""
"333111G106","31G","333","333111","333",""
"333111G108","31G","333","333111","333",""
"333111G112","31G","333","333111","333",""
"333111G114","31G","333","333111","333",""
"333111G118","31G","333","333111","333",""
"333111G122","31G","333","333111","333",""
"333111G123","31G","333","333111","333",""
"333111G126","31G","333","333111","333",""
"333111G128","31G","333","333111","333",""
"333111G132","31G","333","333111","333",""
"333111G136","31G","333","333111","333",""
"333111G139","31G","333","333111","333",""
"333111G142","31G","333","333111","333",""
"333111G156","31G","333","333111","333",""
"333111G158","31G","333","333111","333",""
"333111G162","31G","333","333111","333",""
"333111G164","31G","333","333111","333",""
"333111G166","31G","333","333111","333",""
"333111G168","31G","333","333111","333",""
"333111G170","31G","333","333111","333",""
"333111G172","31G","333","333111","333",""
"333111G174","31G","333","333111","333",""
"333111G176","31G","333","333111","333",""
"333111G178","31G","333","333111","333",""
"333111G182","31G","333","333111","333",""
"333111G184","31G","333","333111","333",""
"333111G186","31G","333","333111","333",""
"333111G188","31G","333","333111","333",""
"333111G192","31G","333","333111","333",""
"333111J","31G","333","333111","333",""
"333111J1","31G","333","333111","333",""
"333111J101","31G","333","333111","333",""
"333111J107","31G","333","333111","333",""
"333111J120","31G","333","333111","333",""
"333111J131","31G","333","333111","333",""
"333111J136","31G","333","333111","333",""
"333111J146","31G","333","333111","333",""
"333111J153","31G","333","333111","333",""
"333111J161","31G","333","333111","333",""
"333111J175","31G","333","333111","333",""
"333111J176","31G","333","333111","333",""
"333111J181","31G","333","333111","333",""
"333112","31G","333","333112","333",""
"3331121","31G","333","333112","333",""
"33311211","31G","333","333112","333",""
"3331121104","31G","333","333112","333",""
"3331121106","31G","333","333112","333",""
"3331121121","31G","333","333112","333",""
"3331121126","31G","333","333112","333",""
"3331121131","31G","333","333112","333",""
"3331121136","31G","333","333112","333",""
"3331121141","31G","333","333112","333",""
"3331121146","31G","333","333112","333",""
"3331121151","31G","333","333112","333",""
"3331121156","31G","333","333112","333",""
"3331121161","31G","333","333112","333",""
"3331121166","31G","333","333112","333",""
"3331123","31G","333","333112","333",""
"33311231","31G","333","333112","333",""
"3331123108","31G","333","333112","333",""
"3331123125","31G","333","333112","333",""
"3331123147","31G","333","333112","333",""
"3331123171","31G","333","333112","333",""
"3331127","31G","333","333112","333",""
"33311271","31G","333","333112","333",""
"3331127101","31G","333","333112","333",""
"3331127111","31G","333","333112","333",""
"3331127125","31G","333","333112","333",""
"3331127195","31G","333","333112","333",""
"33312","31G","333","333120","333",""
"333120","31G","333","333120","333",""
"3331201","31G","333","333120","333",""
"33312011","31G","333","333120","333",""
"3331201111","31G","333","333120","333",""
"3331201114","31G","333","333120","333",""
"3331201117","31G","333","333120","333",""
"3331201160","31G","333","333120","333",""
"3331201167","31G","333","333120","333",""
"3331201180","31G","333","333120","333",""
"3331201194","31G","333","333120","333",""
"3331201195","31G","333","333120","333",""
"33312011A1","31G","333","333120","333",""
"33312011A3","31G","333","333120","333",""
"33312011A5","31G","333","333120","333",""
"33312011A7","31G","333","333120","333",""
"33312011A9","31G","333","333120","333",""
"33312012","31G","333","333120","333",""
"3331201230","31G","333","333120","333",""
"3331201233","31G","333","333120","333",""
"3331201239","31G","333","333120","333",""
"3331201241","31G","333","333120","333",""
"3331201247","31G","333","333120","333",""
"3331201250","31G","333","333120","333",""
"3331201266","31G","333","333120","333",""
"3331201271","31G","333","333120","333",""
"3331201275","31G","333","333120","333",""
"3331201283","31G","333","333120","333",""
"3331201290","31G","333","333120","333",""
"3331201291","31G","333","333120","333",""
"3331201295","31G","333","333120","333",""
"33312013","31G","333","333120","333",""
"3331201371","31G","333","333120","333",""
"3331201376","31G","333","333120","333",""
